available	categoryId	currencyId	delivery	description	id	name	oldprice	param	pickup	price	store	vendor
1	1255	RUB	true	001-01-AT-16-PP Обувь Туфли женские закрытые деми Синий верх Искусcтвенная кожа. подкладка Искусcтвенная кожа.	001-01-AT-16-PP	Материал	3999.00 RUB	Искусственный лак	true	1499.00 RUB	true	velvet
1	1255	RUB	true	001-01-RKV-01-LK Обувь Полуботинки женские прочие Черный верх Натуральная кожа. подкладка Натуральная кожа.	001-01-RKV-01-LK	Материал	7499.00 RUB	Натуральный лак	true	1999.00 RUB	true	velvet
1	1255	RUB	true	001-01-RKV-05-LK Обувь Полуботинки женские прочие Бордовый верх Натуральная кожа. подкладка Натуральная кожа.	001-01-RKV-05-LK	Материал	7499.00 RUB	Натуральный лак	true	1999.00 RUB	true	velvet
1	1255	RUB	true	001-01-RKV-16-LK Обувь Полуботинки женские прочие Синий верх Натуральная кожа. подкладка Натуральная кожа.	001-01-RKV-16-LK	Материал	7499.00 RUB	Натуральный лак	true	1999.00 RUB	true	velvet
1	1255	RUB	true	001-01-TDA-16-KK Обувь Полуботинки женские прочие Синий верх Натуральная кожа. подкладка Натуральная кожа.	001-01-TDA-16-KK	Материал	7499.00 RUB	Натуральная кожа	true	2499.00 RUB	true	calipso
1	1290	RUB	true	001-05-DF-11-CM Обувь Угги женские Золото верх Натуральная кожа. подкладка Мех.	001-05-DF-11-CM	Материал	7499.00 RUB	Натуральная кожа	true	3749.00 RUB	true	velvet
1	1290	RUB	true	001-05-DF-31-CM Обувь Угги женские Никель верх Натуральная кожа. подкладка Мех.	001-05-DF-31-CM	Материал	7499.00 RUB	Спилок	true	3749.00 RUB	true	velvet
1	1258	RUB	true	002-01-EI-17-PP Обувь Полуботинки женские прочие Голубой верх Искусcтвенная кожа. подкладка Искусcтвенная кожа.	002-01-EI-17-PP	Материал	3499.00 RUB	Искусственная кожа	true	999.00 RUB	true	calipso
1	1269	RUB	true	002-05-MT-03-IP Босоножки, пол женский, бежевый, верх Искусственный лак, подкладка Искусственная кожа	002-05-MT-03-IP	Материал	4499.00 RUB	Искусственный лак	true	1349.00 RUB	true	calipso
1	1308	RUB	true	003-01-QB-01-KM Обувь Ботинки мужские Черный верх Натуральная кожа. подкладка Мех.	003-01-QB-01-KM	Материал	11499.00 RUB	Натуральная кожа	true	3499.00 RUB	true	calipso
1	1308	RUB	true	003-06-QB-01-KM Обувь Ботинки мужские Черный верх Натуральная кожа. подкладка Мех.	003-06-QB-01-KM	Материал	11499.00 RUB	Натуральная кожа	true	3499.00 RUB	true	calipso
1	1308	RUB	true	003-08-QB-01-KM Обувь Ботинки мужские Черный верх Натуральная кожа. подкладка Мех.	003-08-QB-01-KM	Материал	11499.00 RUB	Натуральная кожа	true	3499.00 RUB	true	calipso
1	1290	RUB	true	004-01-RR-15-KA Угги, пол женский, серый, верх Текстиль, подкладка Искусственный мех	004-01-RR-15-KA	Материал	6499.00 RUB	Текстиль	true	4549.00 RUB	true	calipso
1	1280	RUB	true	008-011286-372 Сумка Жен., цвет: Черный 32х20х23 см, верх: Искусcтвенная кожа., пр-ль: КИТАЙ	008-011286-372	Материал	7999.00 RUB	Искусственная кожа	true	2999.00 RUB	true	velvet
1	1280	RUB	true	008-051286-372 Сумка Жен., цвет: Бордовый 32х20х23 см, верх: Искусcтвенная кожа., пр-ль: КИТАЙ	008-051286-372	Материал	7999.00 RUB	Искусственная кожа	true	2999.00 RUB	true	velvet
1	1280	RUB	true	008-531286-372 Сумка Жен., цвет: Темно-синий 32х20х23 см, верх: Искусcтвенная кожа., пр-ль: КИТАЙ	008-531286-372	Материал	7999.00 RUB	Искусственная кожа	true	2999.00 RUB	true	velvet
1	1258	RUB	true	009-01-EI-10-PT Кроссовки, пол женский, розовый, верх Искусственная кожа, подкладка Текстиль	009-01-EI-10-PT	Материал	2999.00 RUB	Искусственная кожа	true	899.00 RUB	true	velvet
1	1258	RUB	true	009-01-EI-17-PT Кроссовки, пол женский, голубой, верх Искусственная кожа, подкладка Текстиль	009-01-EI-17-PT	Материал	2999.00 RUB	Искусственная кожа	true	899.00 RUB	true	velvet
1	1269	RUB	true	009-18-YCT-06-KP Босоножки, пол женский, белый, верх Натуральная кожа, подкладка Искусственная кожа	009-18-YCT-06-KP	Материал	5999.00 RUB	Натуральная кожа	true	1469.00 RUB	true	calipso
1	1269	RUB	true	010-01-BLS-03-PP Обувь Туфли женские открытые ремешковые Бежевый верх Искусcтвенная кожа. подкладка Искусcтвенная кожа.	010-01-BLS-03-PP	Материал	5999.00 RUB	Искусственный лак	true	1499.00 RUB	true	velvet
1	1269	RUB	true	010-18-YCT-06-KP Босоножки, пол женский, белый, верх Натуральная кожа, подкладка Искусственная кожа	010-18-YCT-06-KP	Материал	5499.00 RUB	Искусственная кожа	true	1469.00 RUB	true	calipso
1	1258	RUB	true	011-01-BLS-06-PT Обувь Кеды женские Белый верх Искусcтвенная кожа. подкладка Текстиль.	011-01-BLS-06-PT	Материал	5999.00 RUB	Искусственная кожа	true	1799.00 RUB	true	velvet
1	1258	RUB	true	011-01-BLS-16-PT Обувь Кеды женские Синий верх Искусcтвенная кожа. подкладка Текстиль.	011-01-BLS-16-PT	Материал	5999.00 RUB	Искусственная кожа	true	1999.00 RUB	true	velvet
1	1255	RUB	true	011-01-SG-01-PP Обувь Полуботинки женские классические Черный верх Искусcтвенная кожа. подкладка Искусcтвенная кожа.	011-01-SG-01-PP	Материал		Искусственная кожа	true	4499.00 RUB	true	cs
1	1281	RUB	true	011-19-YCT-10-PP Сабо, пол женский, розовый, верх Искусственная кожа, подкладка Искусственная кожа	011-19-YCT-10-PP	Материал	5499.00 RUB	Искусственная кожа	true	1469.00 RUB	true	calipso
1	1255	RUB	true	013-01-AT-01-PP Полуботинки, пол женский, черный, верх Искусственная кожа, подкладка Искусственная кожа	013-01-AT-01-PP	Материал	3499.00 RUB	Искусственная кожа	true	1999.00 RUB	true	velvet
1	1255	RUB	true	013-01-AT-31-PP Полуботинки, пол женский, никель, верх Искусственная кожа, подкладка Искусственная кожа	013-01-AT-31-PP	Материал	3499.00 RUB	Искусственная кожа	true	1999.00 RUB	true	velvet
1	1262	RUB	true	015-01-LD-01-KM Полуботинки, пол мужской, черный, верх Натуральная кожа, подкладка Натуральный мех	015-01-LD-01-KM	Материал	9999.00 RUB	Натуральная кожа	true	4999.00 RUB	true	calipso
1	1265	RUB	true	015-01-ST-10-TT Обувь Полуботинки женские спортивные Розовый верх Текстиль. подкладка Текстиль.	015-01-ST-10-TT	Материал	3499.00 RUB	Текстиль	true	999.00 RUB	true	calipso
1	1280	RUB	true	015-061286-531 Сумка Жен., цвет: белый 29х9х22 см, верх: Искусственная кожа, пр-ль: КИТАЙ	015-061286-531	Материал	4499.00 RUB	Искусственная кожа	true	2249.00 RUB	true	calipso
1	1258	RUB	true	017-03-KO-07-TU Обувь Полуботинки женские прочие Зеленый верх Текстиль. подкладка Без подкладки.	017-03-KO-07-TU	Материал		Текстиль	true	5999.00 RUB	true	calipso
1	1258	RUB	true	017-03-KO-13-TU Обувь Полуботинки женские прочие Оранжевый верх Текстиль. подкладка Без подкладки.	017-03-KO-13-TU	Материал		Текстиль	true	5999.00 RUB	true	calipso
1	1258	RUB	true	020-01-ST-06-TU Обувь Полуботинки женские спортивные Белый верх Текстиль. подкладка Без подкладки.	020-01-ST-06-TU	Материал	2999.00 RUB	Текстиль	true	899.00 RUB	true	calipso
1	1258	RUB	true	020-01-ST-33-TU Обувь Полуботинки женские спортивные Бирюзовый верх Текстиль. подкладка Без подкладки.	020-01-ST-33-TU	Материал	2999.00 RUB	Текстиль	true	899.00 RUB	true	calipso
1	1258	RUB	true	020-07-KO-12-TU Обувь Полуботинки женские прочие Серебро Светлое верх Текстиль. подкладка Без подкладки.	020-07-KO-12-TU	Материал	3499.00 RUB	Текстиль	true	999.00 RUB	true	calipso
1	1258	RUB	true	024-01-ST-10-PT Обувь Полуботинки женские спортивные Розовый верх Искусcтвенная кожа. подкладка Текстиль.	024-01-ST-10-PT	Материал	2999.00 RUB	Искусственная кожа	true	899.00 RUB	true	calipso
1	1258	RUB	true	024-01-ST-17-PT Обувь Полуботинки женские спортивные Голубой верх Искусcтвенная кожа. подкладка Текстиль.	024-01-ST-17-PT	Материал	2999.00 RUB	Искусственная кожа	true	899.00 RUB	true	calipso
1	1269	RUB	true	024-06-SG-11-PP Обувь Туфли женские открытые ремешковые Золото верх Искусcтвенная кожа. подкладка Искусcтвенная кожа.	024-06-SG-11-PP	Материал	4499.00 RUB	Искусственная кожа	true	1299.00 RUB	true	calipso
